,Start,Finish,Steps (count),Day of week,hour,date
63,2022-01-03 15:00:00,03-Jan-2022 16:00,583,Monday,15,2022-01-03
64,2022-01-03 16:00:00,03-Jan-2022 17:00,158,Monday,16,2022-01-03
65,2022-01-03 17:00:00,03-Jan-2022 18:00,336,Monday,17,2022-01-03
66,2022-01-03 18:00:00,03-Jan-2022 19:00,46,Monday,18,2022-01-03
67,2022-01-03 19:00:00,03-Jan-2022 20:00,151,Monday,19,2022-01-03
68,2022-01-03 20:00:00,03-Jan-2022 21:00,0,Monday,20,2022-01-03
69,2022-01-03 21:00:00,03-Jan-2022 22:00,153,Monday,21,2022-01-03
70,2022-01-03 22:00:00,03-Jan-2022 23:00,41,Monday,22,2022-01-03
71,2022-01-03 23:00:00,04-Jan-2022 00:00,0,Monday,23,2022-01-03
72,2022-01-04 00:00:00,04-Jan-2022 01:00,0,Tuesday,0,2022-01-04
73,2022-01-04 01:00:00,04-Jan-2022 02:00,0,Tuesday,1,2022-01-04
74,2022-01-04 02:00:00,04-Jan-2022 03:00,0,Tuesday,2,2022-01-04
75,2022-01-04 03:00:00,04-Jan-2022 04:00,0,Tuesday,3,2022-01-04
76,2022-01-04 04:00:00,04-Jan-2022 05:00,0,Tuesday,4,2022-01-04
77,2022-01-04 05:00:00,04-Jan-2022 06:00,0,Tuesday,5,2022-01-04
78,2022-01-04 06:00:00,04-Jan-2022 07:00,295,Tuesday,6,2022-01-04
79,2022-01-04 07:00:00,04-Jan-2022 08:00,939,Tuesday,7,2022-01-04
80,2022-01-04 08:00:00,04-Jan-2022 09:00,293,Tuesday,8,2022-01-04
81,2022-01-04 09:00:00,04-Jan-2022 10:00,604,Tuesday,9,2022-01-04
82,2022-01-04 10:00:00,04-Jan-2022 11:00,244,Tuesday,10,2022-01-04
83,2022-01-04 11:00:00,04-Jan-2022 12:00,862,Tuesday,11,2022-01-04
84,2022-01-04 12:00:00,04-Jan-2022 13:00,6,Tuesday,12,2022-01-04
85,2022-01-04 13:00:00,04-Jan-2022 14:00,720,Tuesday,13,2022-01-04
86,2022-01-04 14:00:00,04-Jan-2022 15:00,219,Tuesday,14,2022-01-04
87,2022-01-04 15:00:00,04-Jan-2022 16:00,168,Tuesday,15,2022-01-04
88,2022-01-04 16:00:00,04-Jan-2022 17:00,349,Tuesday,16,2022-01-04
89,2022-01-04 17:00:00,04-Jan-2022 18:00,586,Tuesday,17,2022-01-04
90,2022-01-04 18:00:00,04-Jan-2022 19:00,156,Tuesday,18,2022-01-04
91,2022-01-04 19:00:00,04-Jan-2022 20:00,110,Tuesday,19,2022-01-04
92,2022-01-04 20:00:00,04-Jan-2022 21:00,155,Tuesday,20,2022-01-04
93,2022-01-04 21:00:00,04-Jan-2022 22:00,195,Tuesday,21,2022-01-04
94,2022-01-04 22:00:00,04-Jan-2022 23:00,19,Tuesday,22,2022-01-04
95,2022-01-04 23:00:00,05-Jan-2022 00:00,36,Tuesday,23,2022-01-04
96,2022-01-05 00:00:00,05-Jan-2022 01:00,0,Wednesday,0,2022-01-05
