Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066214,2022,04,12,0.8,1,N
IDCJAC0009,066214,2022,04,13,0.0,1,N
IDCJAC0009,066214,2022,04,14,15.4,1,N
IDCJAC0009,066214,2022,04,15,0.2,1,N
IDCJAC0009,066214,2022,04,16,0.0,1,N
IDCJAC0009,066214,2022,04,17,0.0,1,N
IDCJAC0009,066214,2022,04,18,0.0,1,N
IDCJAC0009,066214,2022,04,19,0.0,1,N
IDCJAC0009,066214,2022,04,20,11.6,1,N
IDCJAC0009,066214,2022,04,21,0.0,1,N
IDCJAC0009,066214,2022,04,22,6.0,1,N
IDCJAC0009,066214,2022,04,23,14.6,1,N
IDCJAC0009,066214,2022,04,24,1.2,1,N
IDCJAC0009,066214,2022,04,25,0.6,1,N
IDCJAC0009,066214,2022,04,26,1.0,1,N
IDCJAC0009,066214,2022,04,27,1.6,1,N
IDCJAC0009,066214,2022,04,28,4.2,1,N
IDCJAC0009,066214,2022,04,29,6.6,1,N
IDCJAC0009,066214,2022,04,30,3.8,1,N
IDCJAC0009,066214,2022,05,01,3.0,1,N
IDCJAC0009,066214,2022,05,02,0.0,1,N
IDCJAC0009,066214,2022,05,03,0.0,1,N
IDCJAC0009,066214,2022,05,04,0.0,1,N
IDCJAC0009,066214,2022,05,05,0.0,1,N
IDCJAC0009,066214,2022,05,06,0.0,1,N
IDCJAC0009,066214,2022,05,07,0.0,1,N
IDCJAC0009,066214,2022,05,08,0.0,1,N
IDCJAC0009,066214,2022,05,09,0.4,1,N
IDCJAC0009,066214,2022,05,10,6.4,1,N
IDCJAC0009,066214,2022,05,11,26.4,1,N
IDCJAC0009,066214,2022,05,12,31.4,1,N
IDCJAC0009,066214,2022,05,13,9.0,1,N
IDCJAC0009,066214,2022,05,14,0.4,1,N
IDCJAC0009,066214,2022,05,15,0.2,1,N
IDCJAC0009,066214,2022,05,16,0.2,1,N
IDCJAC0009,066214,2022,05,17,0.0,1,N
IDCJAC0009,066214,2022,05,18,0.0,1,N
IDCJAC0009,066214,2022,05,19,0.0,1,N
IDCJAC0009,066214,2022,05,20,4.4,1,N
IDCJAC0009,066214,2022,05,21,28.2,1,N
IDCJAC0009,066214,2022,05,22,22.8,1,N
IDCJAC0009,066214,2022,05,23,15.0,1,N
IDCJAC0009,066214,2022,05,24,30.8,1,N
IDCJAC0009,066214,2022,05,25,5.0,1,N
IDCJAC0009,066214,2022,05,26,0.0,1,N
IDCJAC0009,066214,2022,05,27,0.0,1,N
IDCJAC0009,066214,2022,05,28,0.0,1,N
IDCJAC0009,066214,2022,05,29,0.0,1,N
IDCJAC0009,066214,2022,05,30,0.0,1,N
IDCJAC0009,066214,2022,05,31,3.6,1,N
IDCJAC0009,066214,2022,06,01,0.0,1,N
IDCJAC0009,066214,2022,06,02,0.0,1,N
IDCJAC0009,066214,2022,06,03,0.0,1,N
IDCJAC0009,066214,2022,06,04,0.4,1,N
IDCJAC0009,066214,2022,06,05,0.0,1,N
IDCJAC0009,066214,2022,06,06,0.8,1,N
IDCJAC0009,066214,2022,06,07,0.0,1,N
IDCJAC0009,066214,2022,06,08,0.0,1,Y
IDCJAC0009,066214,2022,06,09,0.0,1,N
IDCJAC0009,066214,2022,06,10,0.0,1,N
IDCJAC0009,066214,2022,06,11,0.0,1,N
IDCJAC0009,066214,2022,06,12,0.0,1,N
IDCJAC0009,066214,2022,06,13,,,
IDCJAC0009,066214,2022,06,14,,,
IDCJAC0009,066214,2022,06,15,0.0,1,Y
IDCJAC0009,066214,2022,06,16,0.0,1,N
IDCJAC0009,066214,2022,06,17,0.0,1,N
IDCJAC0009,066214,2022,06,18,0.0,1,N
IDCJAC0009,066214,2022,06,19,0.4,1,N
IDCJAC0009,066214,2022,06,20,11.6,1,N
IDCJAC0009,066214,2022,06,21,,,
IDCJAC0009,066214,2022,06,22,0.0,1,N
IDCJAC0009,066214,2022,06,23,0.0,1,N
IDCJAC0009,066214,2022,06,24,0.0,1,N
IDCJAC0009,066214,2022,06,25,0.0,1,N
IDCJAC0009,066214,2022,06,26,0.0,1,N
IDCJAC0009,066214,2022,06,27,0.0,1,N
IDCJAC0009,066214,2022,06,28,2.6,1,N
IDCJAC0009,066214,2022,06,29,1.0,1,N
IDCJAC0009,066214,2022,06,30,0.0,1,N
IDCJAC0009,066214,2022,07,01,13.6,1,N
IDCJAC0009,066214,2022,07,02,16.0,1,N
IDCJAC0009,066214,2022,07,03,93.2,1,N
IDCJAC0009,066214,2022,07,04,25.8,1,N
IDCJAC0009,066214,2022,07,05,72.6,1,N
IDCJAC0009,066214,2022,07,06,9.8,1,N
IDCJAC0009,066214,2022,07,07,50.4,1,N
IDCJAC0009,066214,2022,07,08,0.0,1,N
IDCJAC0009,066214,2022,07,09,0.0,1,N
IDCJAC0009,066214,2022,07,10,19.0,1,N
IDCJAC0009,066214,2022,07,11,11.4,1,N
IDCJAC0009,066214,2022,07,12,8.8,1,N
IDCJAC0009,066214,2022,07,13,0.0,1,N
IDCJAC0009,066214,2022,07,14,21.6,1,N
IDCJAC0009,066214,2022,07,15,3.4,1,N
IDCJAC0009,066214,2022,07,16,0.2,1,N
IDCJAC0009,066214,2022,07,17,0.0,1,N
IDCJAC0009,066214,2022,07,18,0.0,1,N
IDCJAC0009,066214,2022,07,19,1.2,1,N
IDCJAC0009,066214,2022,07,20,11.6,1,N
IDCJAC0009,066214,2022,07,21,7.0,1,N
IDCJAC0009,066214,2022,07,22,6.0,1,N
IDCJAC0009,066214,2022,07,23,20.4,1,N
IDCJAC0009,066214,2022,07,24,8.0,1,N
IDCJAC0009,066214,2022,07,25,0.0,1,N
IDCJAC0009,066214,2022,07,26,4.0,1,N
IDCJAC0009,066214,2022,07,27,0.0,1,N
IDCJAC0009,066214,2022,07,28,0.0,1,N
IDCJAC0009,066214,2022,07,29,0.0,1,N
IDCJAC0009,066214,2022,07,30,0.0,1,N
IDCJAC0009,066214,2022,07,31,0.0,1,N
IDCJAC0009,066214,2022,08,01,0.2,1,N
IDCJAC0009,066214,2022,08,02,0.0,1,N
IDCJAC0009,066214,2022,08,03,0.0,1,N
IDCJAC0009,066214,2022,08,04,0.0,1,N
IDCJAC0009,066214,2022,08,05,0.8,1,N
IDCJAC0009,066214,2022,08,06,0.0,1,N
IDCJAC0009,066214,2022,08,07,0.0,1,N
IDCJAC0009,066214,2022,08,08,0.0,1,N
IDCJAC0009,066214,2022,08,09,0.6,1,N
IDCJAC0009,066214,2022,08,10,13.0,1,N
IDCJAC0009,066214,2022,08,11,0.2,1,N
IDCJAC0009,066214,2022,08,12,0.6,1,N
IDCJAC0009,066214,2022,08,13,5.8,1,N
IDCJAC0009,066214,2022,08,14,0.0,1,N
IDCJAC0009,066214,2022,08,15,0.0,1,N
IDCJAC0009,066214,2022,08,16,0.0,1,N
IDCJAC0009,066214,2022,08,17,0.0,1,N
IDCJAC0009,066214,2022,08,18,0.0,1,N
IDCJAC0009,066214,2022,08,19,0.0,1,N
IDCJAC0009,066214,2022,08,20,0.4,1,N
IDCJAC0009,066214,2022,08,21,0.0,1,N
IDCJAC0009,066214,2022,08,22,0.0,1,N
IDCJAC0009,066214,2022,08,23,0.0,1,N
IDCJAC0009,066214,2022,08,24,18.4,1,N
IDCJAC0009,066214,2022,08,25,0.0,1,N
IDCJAC0009,066214,2022,08,26,2.8,1,N
IDCJAC0009,066214,2022,08,27,12.4,1,N
IDCJAC0009,066214,2022,08,28,3.6,1,N
IDCJAC0009,066214,2022,08,29,0.0,1,N
IDCJAC0009,066214,2022,08,30,0.4,1,N
IDCJAC0009,066214,2022,08,31,0.0,1,N
IDCJAC0009,066214,2022,09,01,0.2,1,N
IDCJAC0009,066214,2022,09,02,0.8,1,N
IDCJAC0009,066214,2022,09,03,10.0,1,N
IDCJAC0009,066214,2022,09,04,13.8,1,N
IDCJAC0009,066214,2022,09,05,2.4,1,N
IDCJAC0009,066214,2022,09,06,0.2,1,N
IDCJAC0009,066214,2022,09,07,0.4,1,N
IDCJAC0009,066214,2022,09,08,0.0,1,N
IDCJAC0009,066214,2022,09,09,2.8,1,N
IDCJAC0009,066214,2022,09,10,2.0,1,N
IDCJAC0009,066214,2022,09,11,0.0,1,N
IDCJAC0009,066214,2022,09,12,0.0,1,N
IDCJAC0009,066214,2022,09,13,0.0,1,N
IDCJAC0009,066214,2022,09,14,0.0,1,N
IDCJAC0009,066214,2022,09,15,0.0,1,N
IDCJAC0009,066214,2022,09,16,20.2,1,N
IDCJAC0009,066214,2022,09,17,0.0,1,N
IDCJAC0009,066214,2022,09,18,0.0,1,N
IDCJAC0009,066214,2022,09,19,0.0,1,N
IDCJAC0009,066214,2022,09,20,0.0,1,N
IDCJAC0009,066214,2022,09,21,0.0,1,N
IDCJAC0009,066214,2022,09,22,8.2,1,N
IDCJAC0009,066214,2022,09,23,5.8,1,N
IDCJAC0009,066214,2022,09,24,1.2,1,N
IDCJAC0009,066214,2022,09,25,1.2,1,N
IDCJAC0009,066214,2022,09,26,0.0,1,N
IDCJAC0009,066214,2022,09,27,0.0,1,N
IDCJAC0009,066214,2022,09,28,3.8,1,N
IDCJAC0009,066214,2022,09,29,3.0,1,N
IDCJAC0009,066214,2022,09,30,14.2,1,N
IDCJAC0009,066214,2022,10,01,10.4,1,N
IDCJAC0009,066214,2022,10,02,0.8,1,N
IDCJAC0009,066214,2022,10,03,0.0,1,N
IDCJAC0009,066214,2022,10,04,0.0,1,N
IDCJAC0009,066214,2022,10,05,17.6,1,N
IDCJAC0009,066214,2022,10,06,27.6,1,N
IDCJAC0009,066214,2022,10,07,91.0,1,N
IDCJAC0009,066214,2022,10,08,5.6,1,N
IDCJAC0009,066214,2022,10,09,50.2,1,N
IDCJAC0009,066214,2022,10,10,2.2,1,N
IDCJAC0009,066214,2022,10,11,0.0,1,N
IDCJAC0009,066214,2022,10,12,0.2,1,N
IDCJAC0009,066214,2022,10,13,0.4,1,N
