Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066160,2022,04,30,3.8
IDCJAC0016,066160,2022,05,01,14.1
IDCJAC0016,066160,2022,05,02,12.2
IDCJAC0016,066160,2022,05,03,14.1
IDCJAC0016,066160,2022,05,04,13.9
IDCJAC0016,066160,2022,05,05,11.8
IDCJAC0016,066160,2022,05,06,13.7
IDCJAC0016,066160,2022,05,07,13.5
IDCJAC0016,066160,2022,05,08,13.4
IDCJAC0016,066160,2022,05,09,6.8
IDCJAC0016,066160,2022,05,10,10.9
IDCJAC0016,066160,2022,05,11,5.3
IDCJAC0016,066160,2022,05,12,5.6
IDCJAC0016,066160,2022,05,13,5.4
IDCJAC0016,066160,2022,05,14,11.7
IDCJAC0016,066160,2022,05,15,8.8
IDCJAC0016,066160,2022,05,16,12.6
IDCJAC0016,066160,2022,05,17,12.5
IDCJAC0016,066160,2022,05,18,12.4
IDCJAC0016,066160,2022,05,19,12.1
IDCJAC0016,066160,2022,05,20,5.2
IDCJAC0016,066160,2022,05,21,7.4
IDCJAC0016,066160,2022,05,22,6.5
IDCJAC0016,066160,2022,05,23,3.6
IDCJAC0016,066160,2022,05,24,4.9
IDCJAC0016,066160,2022,05,25,11.0
IDCJAC0016,066160,2022,05,26,11.4
IDCJAC0016,066160,2022,05,27,11.7
IDCJAC0016,066160,2022,05,28,10.3
IDCJAC0016,066160,2022,05,29,11.6
IDCJAC0016,066160,2022,05,30,7.1
IDCJAC0016,066160,2022,05,31,10.0
IDCJAC0016,066160,2022,06,01,11.4
IDCJAC0016,066160,2022,06,02,9.9
IDCJAC0016,066160,2022,06,03,7.6
IDCJAC0016,066160,2022,06,04,11.2
IDCJAC0016,066160,2022,06,05,9.0
IDCJAC0016,066160,2022,06,06,11.1
IDCJAC0016,066160,2022,06,07,11.0
IDCJAC0016,066160,2022,06,08,11.1
IDCJAC0016,066160,2022,06,09,11.0
IDCJAC0016,066160,2022,06,10,11.0
IDCJAC0016,066160,2022,06,11,11.0
IDCJAC0016,066160,2022,06,12,11.0
IDCJAC0016,066160,2022,06,13,10.9
IDCJAC0016,066160,2022,06,14,10.9
IDCJAC0016,066160,2022,06,15,10.9
IDCJAC0016,066160,2022,06,16,10.3
IDCJAC0016,066160,2022,06,17,10.9
IDCJAC0016,066160,2022,06,18,9.1
IDCJAC0016,066160,2022,06,19,10.1
IDCJAC0016,066160,2022,06,20,6.9
IDCJAC0016,066160,2022,06,21,9.9
IDCJAC0016,066160,2022,06,22,10.8
IDCJAC0016,066160,2022,06,23,10.9
IDCJAC0016,066160,2022,06,24,9.2
IDCJAC0016,066160,2022,06,25,10.9
IDCJAC0016,066160,2022,06,26,10.0
IDCJAC0016,066160,2022,06,27,10.1
IDCJAC0016,066160,2022,06,28,8.9
IDCJAC0016,066160,2022,06,29,10.4
IDCJAC0016,066160,2022,06,30,9.2
IDCJAC0016,066160,2022,07,01,4.0
IDCJAC0016,066160,2022,07,02,3.5
IDCJAC0016,066160,2022,07,03,4.4
IDCJAC0016,066160,2022,07,04,6.8
IDCJAC0016,066160,2022,07,05,5.5
IDCJAC0016,066160,2022,07,06,4.7
IDCJAC0016,066160,2022,07,07,9.4
IDCJAC0016,066160,2022,07,08,11.4
IDCJAC0016,066160,2022,07,09,11.4
IDCJAC0016,066160,2022,07,10,7.0
IDCJAC0016,066160,2022,07,11,8.5
IDCJAC0016,066160,2022,07,12,11.0
IDCJAC0016,066160,2022,07,13,9.4
IDCJAC0016,066160,2022,07,14,8.2
IDCJAC0016,066160,2022,07,15,11.7
IDCJAC0016,066160,2022,07,16,9.1
IDCJAC0016,066160,2022,07,17,12.0
IDCJAC0016,066160,2022,07,18,12.0
IDCJAC0016,066160,2022,07,19,7.9
IDCJAC0016,066160,2022,07,20,8.8
IDCJAC0016,066160,2022,07,21,6.7
IDCJAC0016,066160,2022,07,22,6.7
IDCJAC0016,066160,2022,07,23,9.6
IDCJAC0016,066160,2022,07,24,11.1
IDCJAC0016,066160,2022,07,25,12.6
IDCJAC0016,066160,2022,07,26,9.5
IDCJAC0016,066160,2022,07,27,12.8
IDCJAC0016,066160,2022,07,28,11.6
IDCJAC0016,066160,2022,07,29,12.9
IDCJAC0016,066160,2022,07,30,12.7
IDCJAC0016,066160,2022,07,31,10.6
IDCJAC0016,066160,2022,08,01,12.1
IDCJAC0016,066160,2022,08,02,13.4
IDCJAC0016,066160,2022,08,03,11.0
IDCJAC0016,066160,2022,08,04,4.5
IDCJAC0016,066160,2022,08,05,11.2
IDCJAC0016,066160,2022,08,06,12.8
IDCJAC0016,066160,2022,08,07,13.2
IDCJAC0016,066160,2022,08,08,13.9
IDCJAC0016,066160,2022,08,09,12.9
IDCJAC0016,066160,2022,08,10,10.6
IDCJAC0016,066160,2022,08,11,8.3
IDCJAC0016,066160,2022,08,12,5.5
IDCJAC0016,066160,2022,08,13,11.2
IDCJAC0016,066160,2022,08,14,13.6
IDCJAC0016,066160,2022,08,15,11.2
IDCJAC0016,066160,2022,08,16,14.1
IDCJAC0016,066160,2022,08,17,15.2
IDCJAC0016,066160,2022,08,18,11.5
IDCJAC0016,066160,2022,08,19,9.2
IDCJAC0016,066160,2022,08,20,13.7
IDCJAC0016,066160,2022,08,21,15.6
IDCJAC0016,066160,2022,08,22,15.9
IDCJAC0016,066160,2022,08,23,11.2
IDCJAC0016,066160,2022,08,24,16.3
IDCJAC0016,066160,2022,08,25,11.5
IDCJAC0016,066160,2022,08,26,11.0
IDCJAC0016,066160,2022,08,27,10.6
IDCJAC0016,066160,2022,08,28,16.4
IDCJAC0016,066160,2022,08,29,11.9
IDCJAC0016,066160,2022,08,30,16.0
IDCJAC0016,066160,2022,08,31,14.7
IDCJAC0016,066160,2022,09,01,13.3
IDCJAC0016,066160,2022,09,02,8.5
IDCJAC0016,066160,2022,09,03,7.9
IDCJAC0016,066160,2022,09,04,12.9
IDCJAC0016,066160,2022,09,05,17.0
IDCJAC0016,066160,2022,09,06,15.0
IDCJAC0016,066160,2022,09,07,17.5
IDCJAC0016,066160,2022,09,08,17.0
IDCJAC0016,066160,2022,09,09,10.8
IDCJAC0016,066160,2022,09,10,16.6
IDCJAC0016,066160,2022,09,11,19.0
IDCJAC0016,066160,2022,09,12,18.6
IDCJAC0016,066160,2022,09,13,15.7
IDCJAC0016,066160,2022,09,14,17.5
IDCJAC0016,066160,2022,09,15,9.3
IDCJAC0016,066160,2022,09,16,18.7
IDCJAC0016,066160,2022,09,17,19.2
IDCJAC0016,066160,2022,09,18,20.3
IDCJAC0016,066160,2022,09,19,18.3
IDCJAC0016,066160,2022,09,20,20.7
IDCJAC0016,066160,2022,09,21,11.4
IDCJAC0016,066160,2022,09,22,11.8
IDCJAC0016,066160,2022,09,23,11.8
IDCJAC0016,066160,2022,09,24,14.4
IDCJAC0016,066160,2022,09,25,21.8
IDCJAC0016,066160,2022,09,26,14.7
IDCJAC0016,066160,2022,09,27,14.4
IDCJAC0016,066160,2022,09,28,20.1
IDCJAC0016,066160,2022,09,29,15.6
IDCJAC0016,066160,2022,09,30,13.6
IDCJAC0016,066160,2022,10,01,17.5
IDCJAC0016,066160,2022,10,02,19.8
IDCJAC0016,066160,2022,10,03,21.7
IDCJAC0016,066160,2022,10,04,20.0
IDCJAC0016,066160,2022,10,05,5.3
IDCJAC0016,066160,2022,10,06,6.0
IDCJAC0016,066160,2022,10,07,12.0
IDCJAC0016,066160,2022,10,08,11.6
IDCJAC0016,066160,2022,10,09,18.3
IDCJAC0016,066160,2022,10,10,15.1
IDCJAC0016,066160,2022,10,11,15.7
IDCJAC0016,066160,2022,10,12,17.4
