Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066160,2022,04,12,1.0,1,N
IDCJAC0009,066160,2022,04,13,2.6,1,N
IDCJAC0009,066160,2022,04,14,13.5,1,N
IDCJAC0009,066160,2022,04,15,0.4,1,N
IDCJAC0009,066160,2022,04,16,0.0,,N
IDCJAC0009,066160,2022,04,17,0.1,1,N
IDCJAC0009,066160,2022,04,18,0.0,,N
IDCJAC0009,066160,2022,04,19,0.0,,N
IDCJAC0009,066160,2022,04,20,10.8,1,N
IDCJAC0009,066160,2022,04,21,0.0,,N
IDCJAC0009,066160,2022,04,22,5.0,1,N
IDCJAC0009,066160,2022,04,23,21.0,1,N
IDCJAC0009,066160,2022,04,24,1.2,1,N
IDCJAC0009,066160,2022,04,25,1.2,1,N
IDCJAC0009,066160,2022,04,26,0.2,1,N
IDCJAC0009,066160,2022,04,27,3.8,1,N
IDCJAC0009,066160,2022,04,28,21.8,1,N
IDCJAC0009,066160,2022,04,29,7.2,1,N
IDCJAC0009,066160,2022,04,30,0.0,,N
IDCJAC0009,066160,2022,05,01,6.4,1,N
IDCJAC0009,066160,2022,05,02,0.2,1,N
IDCJAC0009,066160,2022,05,03,0.0,,N
IDCJAC0009,066160,2022,05,04,0.0,,N
IDCJAC0009,066160,2022,05,05,0.2,1,N
IDCJAC0009,066160,2022,05,06,0.0,,N
IDCJAC0009,066160,2022,05,07,0.0,,N
IDCJAC0009,066160,2022,05,08,0.0,,N
IDCJAC0009,066160,2022,05,09,4.8,1,N
IDCJAC0009,066160,2022,05,10,9.0,1,N
IDCJAC0009,066160,2022,05,11,2.8,1,N
IDCJAC0009,066160,2022,05,12,28.0,1,N
IDCJAC0009,066160,2022,05,13,9.8,1,N
IDCJAC0009,066160,2022,05,14,0.4,1,N
IDCJAC0009,066160,2022,05,15,0.2,1,N
IDCJAC0009,066160,2022,05,16,0.0,,N
IDCJAC0009,066160,2022,05,17,0.0,,N
IDCJAC0009,066160,2022,05,18,0.0,,N
IDCJAC0009,066160,2022,05,19,0.0,,N
IDCJAC0009,066160,2022,05,20,6.2,1,N
IDCJAC0009,066160,2022,05,21,27.0,1,N
IDCJAC0009,066160,2022,05,22,19.7,1,N
IDCJAC0009,066160,2022,05,23,19.6,1,N
IDCJAC0009,066160,2022,05,24,58.8,1,N
IDCJAC0009,066160,2022,05,25,12.7,1,N
IDCJAC0009,066160,2022,05,26,1.0,1,N
IDCJAC0009,066160,2022,05,27,0.0,,N
IDCJAC0009,066160,2022,05,28,0.0,,N
IDCJAC0009,066160,2022,05,29,0.0,,N
IDCJAC0009,066160,2022,05,30,0.0,,N
IDCJAC0009,066160,2022,05,31,4.6,1,N
IDCJAC0009,066160,2022,06,01,0.0,,N
IDCJAC0009,066160,2022,06,02,0.0,,N
IDCJAC0009,066160,2022,06,03,0.0,,N
