value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum,Label
-5986.1507735462765,-24.174502311336255,-10.864157483750049,551.0,111.58747214706261,12451.763940171475,112.11509201710176,193.82549768866375,206.17450231133625,-206.17450231133625,L
3074621.569206685,560.2429202357164,316.9386217097912,9701.0,1432.758287518742,2052796.3104536384,1467.3944256350917,3561.242920235716,3561.242920235716,-2045.7570797642836,R
3160364.711603813,1300.2429202357164,1089.4052780433688,2901.0,645.5146530995587,416689.16736624367,1266.2910515339645,1762.2429202357164,1762.2429202357164,-925.7570797642836,R
-3671941.4172765333,-461.7570797642836,-479.92960623141204,7651.0,736.7115160162834,542743.8578310107,879.2475673941037,426.2429202357164,1981.7570797642836,-1981.7570797642836,L
-1119344.4884750992,-162.75707976428362,-101.28897733011485,11051.0,680.0183648391527,462424.9765185149,687.5204967468936,1094.2429202357164,1769.7570797642836,-1769.7570797642836,L
-1397490.0635241722,-805.272452041218,-798.1096879064376,1751.0,92.97683250862089,8644.691383336143,803.5071656889239,-545.272452041218,958.272452041218,-958.272452041218,L
1582367.0323933917,842.727547958782,421.8520480920799,3751.0,1006.1085670257519,1012254.448642612,1090.9691100677849,1284.727547958782,2359.272452041218,-2359.272452041218,L
-841459.1043485331,-24.27245204121806,-38.68599624608216,21751.0,977.1589043740498,954839.5243974935,977.9243992779018,3131.727547958782,3131.727547958782,-2708.272452041218,R
2316986.554529781,106.72754795878194,116.71888340787774,19851.0,973.0770753310185,946878.9945347686,980.0521885485234,3155.727547958782,3155.727547958782,-1902.272452041218,R
2734581.0948966565,422.76649781806447,276.1924143921479,9901.0,1425.7113429944568,2032652.8335430576,1452.2172989297508,3592.7664978180646,3592.7664978180646,-2013.2335021819356,R
-1299776.7278123123,-276.23350218193553,-146.85083355692151,8851.0,875.8851610667623,767174.8153769481,888.1103437598904,1398.7664978180644,2310.2335021819354,-2310.2335021819354,L
2155858.1621507853,26.766497818064465,160.27493585241137,13451.0,1201.018624485497,1442445.7363610354,1211.6657094362,2983.7664978180646,2983.7664978180646,-1824.2335021819356,R
2401744.5709764333,191.59493120402027,213.46943124846086,11251.0,1231.809459949908,1517354.5456220836,1250.1694859896497,3114.59493120402,3114.59493120402,-1890.4050687959798,R
2449268.345055027,371.59493120402027,224.68290478442592,10901.0,1401.4835746262245,1964156.2099471001,1419.3796594461494,3342.59493120402,3342.59493120402,-2163.40506879598,R
-1273783.5289015593,-718.4050687959798,-707.2645912834865,1801.0,147.16521301522076,21657.599921815297,722.4131795622314,-278.40506879597973,994.4050687959798,-994.4050687959798,L
3300948.044563367,302.59493120402027,412.56693470358294,8001.0,603.4701628385768,364176.2374364184,731.0182713497172,1510.5949312040202,2048.40506879598,-2048.40506879598,L
2596531.8028952023,111.21959496047072,169.70796097354264,15300.0,1238.857635897488,1534768.2420215134,1250.4275404993728,3591.2195949604707,3591.2195949604707,-2127.7804050395293,R
3314429.6349951266,672.2195949604707,374.46951022428277,8851.0,1485.116069098565,2205569.7386947735,1531.5995406053069,3411.2195949604707,3411.2195949604707,-1826.7804050395293,R
-929096.0333200982,-117.78040503952928,-88.47691013428228,10501.0,801.8581338304144,642976.4667899949,806.724631095955,1305.2195949604707,2385.7804050395293,-2385.7804050395293,L
-1864471.2856008566,-550.6860137361547,-257.13298656748816,7251.0,1033.3358556315875,1067782.9905338648,1064.847577503457,1290.3139862638454,2757.6860137361546,-2757.6860137361546,L
-1907887.194529358,-399.6860137361547,-241.47414182120718,7901.0,921.6039666382893,849353.8713234292,952.7138250764065,1617.3139862638454,2591.6860137361546,-2591.6860137361546,L
2074162.4086307543,-14.686013736154678,138.7306807993281,14951.0,1357.384961035566,1842493.9324455252,1364.4559847208593,4489.313986263845,4489.313986263845,-2139.6860137361546,R
-132524.77293042932,321.573088172467,-19.343858258711037,6851.0,893.9665115315942,799176.1237399678,894.1757705240625,1066.5730881724671,2157.426911827533,-2157.426911827533,L
